Item id,Price
1,Price3
2,Price1
3,Price2
4,Price2
5,Price2
6,Price2
7,Price3
8,Price2
9,Price2
10,Price1
11,Price2
12,Price1
13,Price2
14,Price2
15,Price1
16,Price2
17,Price1
18,Price1
19,Price2
20,Price1
21,Price4
22,Price2
23,Price2
24,Price2
25,Price2
26,Price2
27,Price1
28,Price1
29,Base_Price
30,Price2
31,Price2
32,Price2
33,Price1
34,Price2
35,Price1
36,Price2
37,Price3
38,Price2
39,Base_Price
40,Price1
41,Price1
42,Price2
43,Price1
44,Price1
45,Price3
46,Price3
47,Price1
48,Price1
49,Price2
50,Price1
51,Price1
52,Price3
53,Price1
54,Price3
55,Price1
56,Price2
57,Price2
58,Price1
59,Price3
60,Price2
61,Price2
62,Price2
63,Price3
64,Price2
65,Price1
66,Price1
67,Price4
68,Price1
69,Price2
70,Price2
71,Price1
72,Price1
73,Price4
74,Price1
75,Price2
76,Price2
77,Price1
78,Price2
79,Price3
80,Price2
81,Price2
82,Price3
83,Price1
84,Price1
85,Price1
86,Price4
87,Price1
88,Price1
89,Price1
90,Price2
91,Price2
92,Price1
93,Price3
94,Price3
95,Price1
96,Price1
97,Price2
98,Price1
99,Price2
100,Price2
101,Price1
102,Price3
103,Base_Price
104,Price2
105,Price2
106,Price3
107,Price1
108,Price2
109,Price2
110,Price2
111,Price2
112,Price3
113,Price1
114,Price3
115,Price4
116,Price2
117,Price1
118,Price2
119,Price2
120,Price3
121,Price1
122,Price2
123,Price1
124,Price1
125,Price1
126,Base_Price
127,Price2
128,Price1
129,Price1
130,Price1
131,Price1
132,Price1
133,Price1
134,Price2
135,Price2
136,Price3
137,Price1
138,Price1
139,Price2
140,Price1
141,Price2
142,Price1
143,Price2
144,Price1
145,Price1
146,Price3
147,Price1
148,Price1
149,Price2
150,Price1
151,Price2
152,Price2
153,Price2
154,Price2
155,Price2
156,Price1
157,Price2
158,Price1
159,Price1
160,Price1
161,Price1
162,Price1
163,Price1
164,Price1
165,Price3
166,Price1
167,Price3
168,Price1
169,Price1
170,Price1
171,Price2
172,Price2
173,Price1
174,Price2
175,Price1
176,Price2
177,Price1
178,Price2
179,Price1
180,Price2
181,Price1
182,Price2
183,Price2
184,Price1
185,Price1
186,Price3
187,Price1
188,Price1
189,Price2
190,Price1
191,Price2
192,Price1
193,Price1
194,Price1
195,Price1
196,Price1
197,Price2
198,Price2
199,Price2
200,Price2
201,Price2
202,Price1
203,Price1
204,Price1
205,Price2
206,Price1
207,Price2
208,Price1
209,Price1
210,Price2
211,Price1
212,Price1
213,Price1
214,Price3
215,Price1
216,Price2
217,Price2
218,Price2
219,Price2
220,Price1
221,Price1
222,Price2
223,Price1
224,Price1
225,Price2
226,Price2
227,Price1
228,Price2
229,Price2
230,Price1
231,Price4
232,Price1
233,Price1
234,Price2
235,Price3
236,Price1
237,Price1
238,Price3
239,Price2
240,Price2
241,Price2
242,Price2
243,Price2
244,Price2
245,Price2
246,Price3
247,Price1
248,Price1
249,Price1
250,Price1
251,Price2
252,Price1
253,Price2
254,Price2
255,Price2
256,Price2
257,Price2
258,Price2
259,Price2
260,Price2
261,Price2
262,Price3
263,Price1
264,Price2
265,Price2
266,Price2
267,Price2
268,Price1
269,Price3
270,Price1
271,Price1
272,Price2
273,Price1
274,Price1
275,Price1
276,Base_Price
277,Price2
278,Price2
279,Price2
280,Price1
281,Price2
282,Price1
283,Price1
284,Price3
285,Price2
286,Price2
287,Price1
288,Price1
289,Price2
290,Price1
291,Price2
292,Price1
293,Price1
294,Price2
295,Price2
296,Price1
297,Price2
298,Price1
299,Price3
300,Price2
